file1,file2,distance,source1,source2
000000.png,000002.png,4,vision,vision
000010.png,000011.png,4,vision,vision
000003.png,000023.png,2,vision,vision
000008.png,000027.png,4,vision,vision
000010.png,000027.png,4,vision,vision
000011.png,000027.png,4,vision,vision
000027.png,000030.png,4,vision,vision
000013.png,000031.png,4,vision,vision
000010.png,000033.png,4,vision,vision
000011.png,000033.png,4,vision,vision
000027.png,000033.png,4,vision,vision
000030.png,000033.png,4,vision,vision
000003.png,000040.png,2,vision,vision
000023.png,000040.png,2,vision,vision
000000.png,000045.png,4,vision,vision
000002.png,000045.png,4,vision,vision
000036.png,000046.png,2,vision,vision
000000.png,000047.png,2,vision,vision
000036.png,000050.png,4,vision,vision
000046.png,000050.png,4,vision,vision
000039.png,000051.png,4,vision,vision
000003.png,000055.png,4,vision,vision
000023.png,000055.png,2,vision,vision
000040.png,000055.png,2,vision,vision
000039.png,000056.png,2,vision,vision
000051.png,000056.png,4,vision,vision
000032.png,000058.png,2,vision,vision
000043.png,000060.png,4,vision,vision
000024.png,000065.png,4,vision,vision
000064.png,000071.png,2,vision,vision
000043.png,000073.png,4,vision,vision
000043.png,000074.png,2,vision,vision
000060.png,000074.png,2,vision,vision
000073.png,000074.png,4,vision,vision
000064.png,000077.png,2,vision,vision
000071.png,000077.png,4,vision,vision
000043.png,000078.png,4,vision,vision
000074.png,000078.png,4,vision,vision
000064.png,000080.png,2,vision,vision
000071.png,000080.png,4,vision,vision
000077.png,000080.png,4,vision,vision
000000.png,000081.png,4,vision,vision
000047.png,000081.png,4,vision,vision
000000.png,000084.png,4,vision,vision
000045.png,000084.png,4,vision,vision
000061.png,000157.png,4,vision,vision
000094.png,000165.png,2,vision,vision
000090.png,000167.png,2,vision,vision
000031_2.png,000094_1.png,2,vision,vision
