file,width,height,format,mode,source,aspect_ratio
176.png,1024,1024,PNG,RGB,mvtec,1.0
162.png,1024,1024,PNG,RGB,mvtec,1.0
189.png,1024,1024,PNG,RGB,mvtec,1.0
002.png,1024,1024,PNG,RGB,mvtec,1.0
016.png,1024,1024,PNG,RGB,mvtec,1.0
200.png,1024,1024,PNG,RGB,mvtec,1.0
201.png,1024,1024,PNG,RGB,mvtec,1.0
017.png,1024,1024,PNG,RGB,mvtec,1.0
003.png,1024,1024,PNG,RGB,mvtec,1.0
188.png,1024,1024,PNG,RGB,mvtec,1.0
163.png,1024,1024,PNG,RGB,mvtec,1.0
177.png,1024,1024,PNG,RGB,mvtec,1.0
149.png,1024,1024,PNG,RGB,mvtec,1.0
161.png,1024,1024,PNG,RGB,mvtec,1.0
175.png,1024,1024,PNG,RGB,mvtec,1.0
029.png,1024,1024,PNG,RGB,mvtec,1.0
015.png,1024,1024,PNG,RGB,mvtec,1.0
001.png,1024,1024,PNG,RGB,mvtec,1.0
203.png,1024,1024,PNG,RGB,mvtec,1.0
202.png,1024,1024,PNG,RGB,mvtec,1.0
000.png,1024,1024,PNG,RGB,mvtec,1.0
014.png,1024,1024,PNG,RGB,mvtec,1.0
028.png,1024,1024,PNG,RGB,mvtec,1.0
174.png,1024,1024,PNG,RGB,mvtec,1.0
160.png,1024,1024,PNG,RGB,mvtec,1.0
148.png,1024,1024,PNG,RGB,mvtec,1.0
164.png,1024,1024,PNG,RGB,mvtec,1.0
170.png,1024,1024,PNG,RGB,mvtec,1.0
158.png,1024,1024,PNG,RGB,mvtec,1.0
010.png,1024,1024,PNG,RGB,mvtec,1.0
004.png,1024,1024,PNG,RGB,mvtec,1.0
038.png,1024,1024,PNG,RGB,mvtec,1.0
212.png,1024,1024,PNG,RGB,mvtec,1.0
206.png,1024,1024,PNG,RGB,mvtec,1.0
207.png,1024,1024,PNG,RGB,mvtec,1.0
039.png,1024,1024,PNG,RGB,mvtec,1.0
005.png,1024,1024,PNG,RGB,mvtec,1.0
011.png,1024,1024,PNG,RGB,mvtec,1.0
159.png,1024,1024,PNG,RGB,mvtec,1.0
171.png,1024,1024,PNG,RGB,mvtec,1.0
165.png,1024,1024,PNG,RGB,mvtec,1.0
173.png,1024,1024,PNG,RGB,mvtec,1.0
167.png,1024,1024,PNG,RGB,mvtec,1.0
198.png,1024,1024,PNG,RGB,mvtec,1.0
007.png,1024,1024,PNG,RGB,mvtec,1.0
013.png,1024,1024,PNG,RGB,mvtec,1.0
205.png,1024,1024,PNG,RGB,mvtec,1.0
211.png,1024,1024,PNG,RGB,mvtec,1.0
210.png,1024,1024,PNG,RGB,mvtec,1.0
204.png,1024,1024,PNG,RGB,mvtec,1.0
012.png,1024,1024,PNG,RGB,mvtec,1.0
006.png,1024,1024,PNG,RGB,mvtec,1.0
199.png,1024,1024,PNG,RGB,mvtec,1.0
166.png,1024,1024,PNG,RGB,mvtec,1.0
172.png,1024,1024,PNG,RGB,mvtec,1.0
129.png,1024,1024,PNG,RGB,mvtec,1.0
115.png,1024,1024,PNG,RGB,mvtec,1.0
101.png,1024,1024,PNG,RGB,mvtec,1.0
049.png,1024,1024,PNG,RGB,mvtec,1.0
061.png,1024,1024,PNG,RGB,mvtec,1.0
075.png,1024,1024,PNG,RGB,mvtec,1.0
074.png,1024,1024,PNG,RGB,mvtec,1.0
060.png,1024,1024,PNG,RGB,mvtec,1.0
048.png,1024,1024,PNG,RGB,mvtec,1.0
100.png,1024,1024,PNG,RGB,mvtec,1.0
114.png,1024,1024,PNG,RGB,mvtec,1.0
128.png,1024,1024,PNG,RGB,mvtec,1.0
102.png,1024,1024,PNG,RGB,mvtec,1.0
116.png,1024,1024,PNG,RGB,mvtec,1.0
076.png,1024,1024,PNG,RGB,mvtec,1.0
062.png,1024,1024,PNG,RGB,mvtec,1.0
089.png,1024,1024,PNG,RGB,mvtec,1.0
088.png,1024,1024,PNG,RGB,mvtec,1.0
063.png,1024,1024,PNG,RGB,mvtec,1.0
077.png,1024,1024,PNG,RGB,mvtec,1.0
117.png,1024,1024,PNG,RGB,mvtec,1.0
